eviction_id,address,zip,file date,year,reason,latitude,longitude,supervisor_district,neighborhood
M153486,0 Block of Raymond Avenue,94134,12/30/15,2015,Demolition,37.71214845,-122.4042878,10,Visitacion Valley
M153490,2700 Block of Folsom Street,94110,12/30/15,2015,Breach,37.75329845,-122.4142288,9,Mission
M153487,300 Block of San Benito Way,94127,12/30/15,2015,Nuisance,37.72966764,-122.4674186,7,West of Twin Peaks
M153438,100 Block of Elmira Street,94124,12/30/15,2015,Owner Move In,37.73530692,-122.4037336,10,Bayview Hunters Point
M153488,0 Block of Morningside Drive,94132,12/30/15,2015,Non Payment,37.73318135,-122.4922999,7,Sunset/Parkside
M153489,1400 Block of Newcomb Avenue,94124,12/30/15,2015,Roommate Same Unit,37.73368154,-122.3869371,10,Bayview Hunters Point
M153437,1700 Block of 9th Avenue,94122,12/29/15,2015,Owner Move In,37.75564263,-122.4657951,7,Inner Sunset
M153485,2400 Block of Green Street,94123,12/29/15,2015,Nuisance,37.79569128,-122.4394237,2,Marina
M153483,1700 Block of Cayuga Avenue,94112,12/28/15,2015,Unapproved Subtenant,37.71447285,-122.4490254,11,Outer Mission
M153436,1300 Block of Bayshore Boulevard,94124,12/28/15,2015,Owner Move In,37.72738911,-122.4019226,10,Bayview Hunters Point
M153482,1100 Block of Naples Street,94112,12/28/15,2015,Nuisance,37.7129888,-122.4371239,11,Excelsior
M153469,0 Block of Morningside Drive,94132,12/24/15,2015,Non Payment,37.73318135,-122.4922999,7,Sunset/Parkside
M153479,600 Block of Clement Street,94118,12/23/15,2015,Ellis Act WithDrawal,37.78292506,-122.4660309,1,Inner Richmond
M153467,300 Block of Eddy Street,94102,12/23/15,2015,Breach,37.78373004,-122.4137537,6,Tenderloin
M153467,300 Block of Eddy Street,94102,12/23/15,2015,Nuisance,37.78373004,-122.4137537,6,Tenderloin
M153433,800 Block of Brunswick Street,94112,12/23/15,2015,Owner Move In,37.70817029,-122.450483,,
M153468,1100 Block of Naples Street,94112,12/23/15,2015,Nuisance,37.7129888,-122.4371239,11,Excelsior
M153434,100 Block of Tucker Avenue,94134,12/23/15,2015,Owner Move In,37.71616722,-122.4069801,10,Visitacion Valley
M153435,1800 Block of McAllister Street,94115,12/23/15,2015,Owner Move In,37.7773231,-122.4425106,5,Lone Mountain/USF
M153453,500 Block of 26th Avenue,94121,12/22/15,2015,Illegal Use,37.77907442,-122.4858066,1,Outer Richmond
M153452,500 Block of 26th Avenue,94121,12/22/15,2015,Breach,37.77907442,-122.4858066,1,Outer Richmond
M153450,400 Block of Amazon Avenue,94112,12/22/15,2015,Demolition,37.7159003,-122.4365914,11,Excelsior
M153432,600 Block of Commercial Street,94111,12/21/15,2015,Owner Move In,37.79417305,-122.4038888,3,Chinatown
M153447,500 Block of 5th Avenue,94118,12/21/15,2015,Capital Improvement,37.7782075,-122.4630776,1,Inner Richmond
M153448,1000 Block of Filbert Street,94133,12/21/15,2015,Access Denial,37.80047546,-122.4169575,2,Russian Hill
M153445,900 Block of Valencia Street,94110,12/21/15,2015,Other Cause,37.75810421,-122.4211638,9,Mission
M153451,1700 Block of Cayuga Avenue,94112,12/21/15,2015,Unapproved Subtenant,37.71447285,-122.4490254,11,Outer Mission
M153446,300 Block of Capp Street,94110,12/21/15,2015,Breach,37.76109715,-122.4182637,9,Mission
M153427,1200 Block of 6th Avenue,94122,12/21/15,2015,Roommate Same Unit,37.76464907,-122.4630656,5,Inner Sunset
M153444,3600 Block of Fillmore Street,94123,12/21/15,2015,Breach,37.80396085,-122.4371261,2,Marina
M153431,0 Block of Ottawa Avenue,94112,12/21/15,2015,Owner Move In,37.71482302,-122.44534,11,Outer Mission
M153449,100 Block of Clifford Terrace,94117,12/21/15,2015,Nuisance,37.76415825,-122.4452275,8,Haight Ashbury
M153426,100 Block of Chattanooga Street,94114,12/21/15,2015,Unapproved Subtenant,37.75415667,-122.4266249,8,Noe Valley
M153442,1200 Block of 34th Avenue,94122,12/18/15,2015,Ellis Act WithDrawal,37.76379617,-122.4931957,4,Sunset/Parkside
M153420,0 Block of Hill Street,94110,12/18/15,2015,Breach,37.75609116,-122.4221331,8,Mission
M153422,3100 Block of 24th Street,94110,12/18/15,2015,Breach,37.75246098,-122.4157242,9,Mission
M153418,2300 Block of Chestnut Street,94123,12/18/15,2015,Illegal Use,37.80013832,-122.4420227,2,Marina
M153421,500 Block of Capp Street,94110,12/18/15,2015,Nuisance,37.75789544,-122.4179573,9,Mission
M153441,1200 Block of 34th Avenue,94122,12/18/15,2015,Ellis Act WithDrawal,37.76379617,-122.4931957,4,Sunset/Parkside
M153419,300 Block of Moultrie Street,94110,12/18/15,2015,Non Payment,37.73970092,-122.4157747,9,Bernal Heights
M153423,900 Block of Valencia Street,94110,12/18/15,2015,Capital Improvement,37.75810421,-122.4211638,9,Mission
M153424,200 Block of College Avenue,94112,12/18/15,2015,Roommate Same Unit,37.73495635,-122.4242728,9,Bernal Heights
M153417,1600 Block of 22nd Avenue,94122,12/17/15,2015,Non Payment,37.75689891,-122.4798121,4,Sunset/Parkside
M153430,100 Block of Naples Street,94112,12/17/15,2015,Owner Move In,37.72632645,-122.4271532,11,Excelsior
M153414,700 Block of Delano Avenue,94112,12/17/15,2015,Non Payment,37.71977515,-122.4452443,11,Outer Mission
M153415,800 Block of Laguna Honda Boulevard,94127,12/17/15,2015,Nuisance,37.74379825,-122.4561941,7,West of Twin Peaks
M153416,800 Block of Laguna Honda Boulevard,94127,12/17/15,2015,Illegal Use,37.74379825,-122.4561941,7,West of Twin Peaks
M153412,600 Block of Gonzalez Drive,94132,12/16/15,2015,Breach,37.71658976,-122.4796538,7,Lakeshore
M153406,200 Block of Bank Street,94110,12/16/15,2015,Roommate Same Unit,37.73975963,-122.4126513,9,Bernal Heights
M153377,2600 Block of Polk Street,94109,12/16/15,2015,Breach,37.80108241,-122.4228758,2,Russian Hill
M153378,100 Block of Rolph Street,94112,12/16/15,2015,Roommate Same Unit,37.71480629,-122.4395823,11,Excelsior
M153408,100 Block of Tapia Drive,94132,12/16/15,2015,Breach,37.71972998,-122.481458,7,Lakeshore
M153413,2200 Block of Union Street,94123,12/16/15,2015,Late Payments,37.79703841,-122.4363247,2,Marina
M153407,100 Block of Gonzalez Drive,94132,12/16/15,2015,Breach,37.71780113,-122.4753896,7,Lakeshore
M153411,300 Block of Serrano Drive,94132,12/16/15,2015,Breach,37.71911838,-122.4804846,7,Lakeshore
M153409,100 Block of Crespi Drive,94132,12/16/15,2015,Breach,37.71910996,-122.4771164,7,Lakeshore
M153410,0 Block of Fuente Avenue,94132,12/16/15,2015,Breach,37.71939754,-122.4779927,7,Lakeshore
M153375,0 Block of Glendale Street,94114,12/15/15,2015,Late Payments,37.75628534,-122.4426502,8,Twin Peaks
M153376,3000 Block of California Street,94115,12/15/15,2015,Breach,37.78759693,-122.4445886,2,Pacific Heights
M153373,1700 Block of 45th Avenue,94122,12/14/15,2015,Non Payment,37.75394207,-122.5044673,4,Sunset/Parkside
M153369,3100 Block of 24th Street,94110,12/14/15,2015,Breach,37.75246098,-122.4157242,9,Mission
M153370,1600 Block of 22nd Avenue,94122,12/14/15,2015,Non Payment,37.75689891,-122.4798121,4,Sunset/Parkside
M153439,700 Block of 15th Avenue,94118,12/14/15,2015,Ellis Act WithDrawal,37.77399204,-122.4735645,1,Outer Richmond
M153372,1600 Block of Quesada Avenue,94124,12/14/15,2015,Breach,37.73271193,-122.3904628,10,Bayview Hunters Point
M153374,2800 Block of 26th Street,94110,12/14/15,2015,Breach,37.7497417,-122.4073956,9,Mission
M153429,100 Block of Raymond Avenue,94134,12/14/15,2015,Owner Move In,37.71287594,-122.4061638,10,Visitacion Valley
M153428,200 Block of Victoria Street,94132,12/14/15,2015,Owner Move In,37.71520281,-122.4652413,11,Oceanview/Merced/Ingleside
M153371,2400 Block of Bryant Street,94110,12/14/15,2015,Unapproved Subtenant,37.75519293,-122.4094376,9,Mission
M153343,1200 Block of Sanchez Street,94114,12/11/15,2015,Owner Move In,37.74875589,-122.4294536,8,Noe Valley
M153342,2200 Block of Cayuga Avenue,94112,12/11/15,2015,Owner Move In,37.70974946,-122.4552257,11,Outer Mission
M153367,0 Block of Taylor Street,94102,12/11/15,2015,Breach,37.78248521,-122.410688,6,Tenderloin
M153339,900 Block of Alabama Street,94110,12/11/15,2015,Owner Move In,37.7566821,-122.4114175,9,Mission
M153365,1500 Block of 12th Avenue,94122,12/11/15,2015,Non Payment,37.75923421,-122.4692662,7,Inner Sunset
M153366,800 Block of Geary Street,94109,12/11/15,2015,Breach,37.7861514,-122.4172576,6,Tenderloin
M153340,0 Block of Montezuma Street,94110,12/11/15,2015,Owner Move In,37.74601763,-122.4163339,9,Bernal Heights
M153341,1300 Block of Lake Street,94118,12/11/15,2015,Owner Move In,37.7863179,-122.4738228,2,Seacliff
M153368,3300 Block of Octavia Street,94123,12/11/15,2015,Breach,37.80304184,-122.4300185,2,Marina
M153364,200 Block of 9th Avenue,94103,12/10/15,2015,Non Payment,37.78373859,-122.4676276,1,Inner Richmond
M153363,300 Block of 30th Avenue,94121,12/10/15,2015,Nuisance,37.7827108,-122.4902287,1,Outer Richmond
M153362,2000 Block of Mission Street,94110,12/10/15,2015,Nuisance,37.76423612,-122.4196598,9,Mission
M153359,0 Block of Nebraska Street,94110,12/9/15,2015,Breach,37.74057415,-122.4105049,9,Bernal Heights
M153338,600 Block of Capp Street,94110,12/9/15,2015,Owner Move In,37.75630588,-122.4176665,9,Mission
M153336,200 Block of Waterville Street,94124,12/9/15,2015,Owner Move In,37.73169262,-122.4023685,10,Bayview Hunters Point
M153358,200 Block of 9th Street,94103,12/9/15,2015,Non Payment,37.77394504,-122.4119382,6,South of Market
M153337,900 Block of Alabama Street,94110,12/9/15,2015,Owner Move In,37.7566821,-122.4114175,9,Mission
M153356,200 Block of Berry Street,94158,12/9/15,2015,Nuisance,37.77487017,-122.3944171,6,Mission Bay
M153360,2000 Block of Mission Street,94110,12/9/15,2015,Breach,37.76424449,-122.4195219,9,Mission
M153357,200 Block of Berry Street,94158,12/9/15,2015,Nuisance,37.77487017,-122.3944171,6,Mission Bay
M153361,2000 Block of Mission Street,94110,12/9/15,2015,Illegal Use,37.76424449,-122.4195219,9,Mission
M153354,0 Block of Lundys Lane,94110,12/8/15,2015,Demolition,37.74439426,-122.4186175,9,Bernal Heights
M153355,0 Block of Edinburgh Street,94112,12/8/15,2015,Non Payment,37.72806566,-122.4269217,11,Excelsior
M153334,700 Block of Grove Street,94102,12/8/15,2015,Owner Move In,37.77698361,-122.4291908,5,Hayes Valley
M153335,400 Block of Girard Street,94134,12/8/15,2015,Owner Move In,37.72675673,-122.404413,9,Portola
M153348,1500 Block of Geneva Avenue,94112,12/7/15,2015,Nuisance,37.71243928,-122.430848,11,Excelsior
M153351,100 Block of Girard Street,94134,12/7/15,2015,Other Cause,37.73039331,-122.4057719,9,Portola
M153333,2400 Block of 43rd Avenue,94116,12/7/15,2015,Owner Move In,37.74098264,-122.501269,4,Sunset/Parkside
M153349,4500 Block of CAlifornia Street,94118,12/7/15,2015,Nuisance,37.78483824,-122.4661745,1,Inner Richmond
M153350,1300 Block of 11th Avenue,94122,12/7/15,2015,Illegal Use,37.76301509,-122.468317,5,Inner Sunset
M153347,1300 Block of Kansas Street,94107,12/7/15,2015,Roommate Same Unit,37.75260249,-122.4023064,10,Potrero Hill
M153352,0 Block of Glendale Street,94114,12/7/15,2015,Late Payments,37.75628534,-122.4426502,8,Twin Peaks
M153332,2400 Block of california Street,94115,12/7/15,2015,Owner Move In,37.78885585,-122.4346736,2,Pacific Heights
M153389,100 Block of San Carlos Street,94110,12/7/15,2015,Ellis Act WithDrawal,37.76098486,-122.4201205,9,Mission
M153353,0 Block of Polk Street,94102,12/7/15,2015,Breach,37.7769444,-122.4179954,6,Tenderloin
M153298,300 Block of San Benito Way,94127,12/4/15,2015,Non Payment,37.72966764,-122.4674186,7,West of Twin Peaks
M153346,0 Block of Polk Street,94102,12/4/15,2015,Breach,37.7769444,-122.4179954,6,Tenderloin
M153241,900 Block of Guerrero Street,94110,12/3/15,2015,Owner Move In,37.75557304,-122.4231072,8,Mission
M153330,1100 Block of Broderick Street,94115,12/3/15,2015,Owner Move In,37.78083246,-122.4407549,2,Western Addition
M153331,200 Block of Joost Avenue,94131,12/3/15,2015,Owner Move In,37.73241738,-122.4408878,8,West of Twin Peaks
M153297,1200 Block of HOLLISTER Avenue,94124,12/3/15,2015,Non Payment,37.7212048,-122.3951631,10,Bayview Hunters Point
M153242,200 Block of Montana Street,94112,12/3/15,2015,Owner Move In,37.71652692,-122.4614229,11,Oceanview/Merced/Ingleside
M153243,0 Block of Montezuma Street,94110,12/3/15,2015,Owner Move In,37.74601763,-122.4163339,9,Bernal Heights
M153388,100 Block of San Carlos Street,94110,12/3/15,2015,Ellis Act WithDrawal,37.76098486,-122.4201205,9,Mission
M153290,1500 Block of Newhall Street,94124,12/1/15,2015,Roommate Same Unit,37.73475756,-122.3931143,10,Bayview Hunters Point
M153329,100 Block of Noriega Street,94122,12/1/15,2015,Ellis Act WithDrawal,37.75478489,-122.4651296,7,Inner Sunset
M153239,0 Block of Iris Avenue,94118,12/1/15,2015,Owner Move In,37.78500098,-122.4519422,2,Presidio Heights
M153328,100 Block of NOriega Street,94122,12/1/15,2015,Ellis Act WithDrawal,37.75478489,-122.4651296,7,Inner Sunset
M153289,200 Block of San Carlos Street,94110,12/1/15,2015,Late Payments,37.75939054,-122.4198391,9,Mission
M153274,1300 Block of Stockton Street,94133,11/30/15,2015,Nuisance,37.79809081,-122.4087818,3,Chinatown
M153237,2400 Block of California Street,94115,11/30/15,2015,Owner Move In,37.78885585,-122.4346736,2,Pacific Heights
M153275,2000 Block of Broadway Street,94115,11/30/15,2015,Nuisance,37.79484383,-122.4308226,2,Pacific Heights
M153281,400 Block of 20th Avenue,94121,11/30/15,2015,Demolition,37.7793683,-122.479381,1,Outer Richmond
M153284,1300 Block of Market Street,94102,11/30/15,2015,Nuisance,37.77708346,-122.4169793,6,Tenderloin
M153287,2900 Block of Clay Street,94115,11/30/15,2015,Breach,37.78971338,-122.4416302,2,Pacific Heights
M153273,1500 Block of 38th Avenue,94122,11/30/15,2015,Roommate Same Unit,37.75799902,-122.4972255,4,Sunset/Parkside
M153286,800 Block of Dartmouth Street,94134,11/30/15,2015,Breach,37.72016072,-122.40933,9,Portola
M153280,2800 Block of Washington Street,94115,11/30/15,2015,Breach,37.79080967,-122.4401358,2,Pacific Heights
M153285,200 Block of Clinton Park,94103,11/30/15,2015,Breach,37.76899374,-122.4256342,8,Mission
M153276,300 Block of Ellis Street,94102,11/30/15,2015,Late Payments,37.78502466,-122.4119719,6,Tenderloin
M153288,1200 Block of Filbert Street,94109,11/30/15,2015,Nuisance,37.7999745,-122.4200506,2,Russian Hill
M153277,1900 Block of Vallejo Street,94123,11/30/15,2015,Breach,37.79601244,-122.4293713,2,Marina
M153327,3300 Block of 20th Street,94110,11/30/15,2015,Ellis Act WithDrawal,37.75880834,-122.4152294,9,Mission
M153283,600 Block of 32nd Avenue,94121,11/30/15,2015,Breach,37.77688821,-122.4920963,1,Outer Richmond
M153272,200 Block of Dolores Street,94103,11/30/15,2015,Nuisance,37.76520675,-122.4265916,8,Castro/Upper Market
M153278,200 Block of Rome Street,94112,11/30/15,2015,Non Payment,37.71528322,-122.4469456,11,Outer Mission
M153282,0 Block of Allison Street,94112,11/30/15,2015,Access Denial,37.71414548,-122.4424166,11,Excelsior
M153279,0 Block of Allison Street,94112,11/30/15,2015,Access Denial,37.71414548,-122.4424166,11,Excelsior
M153266,100 Block of Cambon Drive,94132,11/25/15,2015,Breach,37.71667312,-122.4741737,7,Lakeshore
M153236,200 Block of Waterville Street,94124,11/25/15,2015,Owner Move In,37.73169262,-122.4023685,10,Bayview Hunters Point
M153265,1600 Block of Chestnut Street,94123,11/25/15,2015,Unapproved Subtenant,37.80149519,-122.4304781,2,Marina
M153267,300 Block of Turk Street,94102,11/25/15,2015,Breach,37.78263551,-122.4148628,6,Tenderloin
