Eviction ID,Address,City,State,Year,Eviction Notice Source Zipcode,File Date,Non Payment,Breach,Nuisance,Illegal Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move In,Demolition,Capital Improvement,Substantial Rehab,Ellis Act WithDrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development,Good Samaritan Ends,Constraints Date,Supervisor District,Neighborhoods - Analysis Boundaries,Location,Reason
M132408,1500 Block Of La Salle  Avenue,San Francisco,CA,2013,94124,12/05/2013,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,10,Bayview Hunters Point,"(37.7359790208273, -122.387994549376)",Nuisance
M120769,800 Block Of Hampshire  Street,San Francisco,CA,2012,94110,07/18/2012,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,07/17/2015,9,Mission,"(37.7585039851251, -122.407899319971)",Owner Move In
M140739,2600 Block Of 21st  Street,San Francisco,CA,2014,94110,04/09/2014,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,04/02/2017,9,Mission,"(37.7576232172729, -122.408197661636)",Owner Move In
M150163,200 Block Of Mallorca  Way,San Francisco,CA,2015,94123,01/16/2015,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,,,2,Marina,"(37.8026786425363, -122.43834826896)",Late Payments
M122277,100 Block Of Fair Oaks  Street,San Francisco,CA,2012,94110,12/12/2012,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,8,Mission,"(37.7543085855595, -122.424144017783)",Breach
M110070,1400 Block Of Chestnut  Street,San Francisco,CA,2011,94123,01/19/2011,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,2,Marina,"(37.8020216254074, -122.427210668222)",Nuisance
M150341,300 Block Of Collingwood  Street,San Francisco,CA,2015,94114,02/23/2015,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,02/12/2018,8,Castro/Upper Market,"(37.757020545205, -122.435675222711)",Owner Move In
M130055,2900 Block Of Jennings  Street,San Francisco,CA,2013,94124,01/07/2013,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,10,Bayview Hunters Point,"(37.7216895966858, -122.39339823815)",Illegal Use
M150938,200 Block Of Leavenworth  Street,San Francisco,CA,2015,94102,04/23/2015,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,6,Tenderloin,"(37.7832504152422, -122.414216003054)",Nuisance
M122264,100 Block Of Presidio  Avenue,San Francisco,CA,2012,94115,12/07/2012,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,,,2,Presidio Heights,"(37.7903902843772, -122.447347506856)",Demolition
M153149,0 Block Of Robblee  Avenue,San Francisco,CA,2015,94124,11/16/2015,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,,,10,Bayview Hunters Point,"(37.7357126133141, -122.399154024427)",Roommate Same Unit
M150151,900 Block Of Post  Street,San Francisco,CA,2015,94109,01/14/2015,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,,,3,Nob Hill,"(37.7871735246735, -122.417641342758)",Late Payments
M141007,500 Block Of Mississippi  Street,San Francisco,CA,2014,94107,05/23/2014,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,05/21/2017,10,Potrero Hill,"(37.7588711231895, -122.394160784869)",Owner Move In
M132194,1000 Block Of Market  Street,San Francisco,CA,2013,94103,10/28/2013,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,,,6,South of Market,"(37.7812876875414, -122.411318055944)",Demolition
M110599,900 Block Of Jones  Street,San Francisco,CA,2011,94109,04/12/2011,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,3,Nob Hill,"(37.7899875725832, -122.413890485298)",Multiple
M130680,0 Block Of Powers  Avenue,San Francisco,CA,2013,94110,04/12/2013,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,,,9,Bernal Heights,"(37.7459098395864, -122.418985022312)",Substantial Rehab
M150716,400 Block Of Vallejo  Street,San Francisco,CA,2015,94133,04/03/2015,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,,04/22/2018,3,North Beach,"(37.799081056607, -122.40433193337)",Owner Move In
